2021-06-03 18:44:42,082 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-06-03 18:44:42,103 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-06-03 18:44:42,104 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-06-03 18:44:42,104 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-06-03 18:44:42,106 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-06-03 18:44:42,106 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-06-03 18:44:42,107 INFO  SwAddin.cs: 201 - Setting up command manager
2021-06-03 18:44:42,108 INFO  SwAddin.cs: 204 - Adding command manager
2021-06-03 18:44:42,110 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-06-03 18:44:42,110 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-06-03 18:44:42,110 INFO  SwAddin.cs: 210 - Adding event handlers
2021-06-03 18:44:42,112 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-06-03 18:55:57,448 INFO  SwAddin.cs: 294 - Assembly export called for file final assembly.SLDASM
2021-06-03 18:55:57,449 INFO  SwAddin.cs: 299 - Save is required
2021-06-03 18:55:57,449 INFO  SwAddin.cs: 313 - Saving assembly
2021-06-03 18:55:57,816 INFO  SwAddin.cs: 316 - Opening property manager
2021-06-03 18:55:57,824 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from final assembly.SLDASM
2021-06-03 18:55:57,827 INFO  ExportHelperExtension.cs: 1136 - Found 57 in final assembly.SLDASM
2021-06-03 18:55:57,828 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in final assembly.SLDASM
2021-06-03 18:55:57,828 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-06-03 18:55:57,829 INFO  ExportHelperExtension.cs: 1160 - 12 components to check
2021-06-03 18:55:57,829 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from pivote-1
2021-06-03 18:55:57,830 INFO  ExportHelperExtension.cs: 1136 - Found 28 in pivote-1
2021-06-03 18:55:57,830 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in pivote-1
2021-06-03 18:55:57,830 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from esclavo1-2
2021-06-03 18:55:57,830 INFO  ExportHelperExtension.cs: 1136 - Found 31 in esclavo1-2
2021-06-03 18:55:57,831 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in esclavo1-2
